TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,SPEED,ACCELERATION,SOURCE
1692.0999999995563,00000000-0000-0000-0000-000000000000,BAIT,481,206,1.0,0.0,05-29-167-2_batch_4
1692.0999999995563,00000000-0000-0000-0000-000000000167,MICE,512,247,1.0,-2.16227766016838,05-29-167-2_batch_4
1692.1999999995564,00000000-0000-0000-0000-000000000000,BAIT,479,205,2.23606797749979,1.23606797749979,05-29-167-2_batch_4
1692.1999999995564,00000000-0000-0000-0000-000000000167,MICE,512,245,2.0,1.0,05-29-167-2_batch_4
1692.2999999995563,00000000-0000-0000-0000-000000000000,BAIT,474,201,6.403124237432849,4.167056259933059,05-29-167-2_batch_4
1692.2999999995563,00000000-0000-0000-0000-000000000167,MICE,512,242,3.0,1.0,05-29-167-2_batch_4
1692.3999999995565,00000000-0000-0000-0000-000000000000,BAIT,473,200,1.414213562373095,-4.988910675059754,05-29-167-2_batch_4
1692.3999999995565,00000000-0000-0000-0000-000000000167,MICE,511,238,4.123105625617661,1.123105625617661,05-29-167-2_batch_4
1692.4999999995562,00000000-0000-0000-0000-000000000000,BAIT,473,200,0.0,-1.414213562373095,05-29-167-2_batch_4
1692.4999999995562,00000000-0000-0000-0000-000000000167,MICE,509,236,2.82842712474619,-1.29467850087147,05-29-167-2_batch_4
1692.599999999556,00000000-0000-0000-0000-000000000000,BAIT,473,200,0.0,0.0,05-29-167-2_batch_4
1692.599999999556,00000000-0000-0000-0000-000000000167,MICE,505,232,5.656854249492381,2.82842712474619,05-29-167-2_batch_4
1692.699999999556,00000000-0000-0000-0000-000000000000,BAIT,473,200,0.0,0.0,05-29-167-2_batch_4
1692.699999999556,00000000-0000-0000-0000-000000000167,MICE,504,230,2.23606797749979,-3.420786271992591,05-29-167-2_batch_4
1692.799999999556,00000000-0000-0000-0000-000000000000,BAIT,473,200,0.0,0.0,05-29-167-2_batch_4
1692.799999999556,00000000-0000-0000-0000-000000000167,MICE,503,228,2.23606797749979,0.0,05-29-167-2_batch_4
1692.8999999995558,00000000-0000-0000-0000-000000000000,BAIT,473,200,0.0,0.0,05-29-167-2_batch_4
1692.8999999995558,00000000-0000-0000-0000-000000000167,MICE,502,226,2.23606797749979,0.0,05-29-167-2_batch_4
1692.9999999995557,00000000-0000-0000-0000-000000000000,BAIT,473,200,0.0,0.0,05-29-167-2_batch_4
1692.9999999995557,00000000-0000-0000-0000-000000000167,MICE,503,224,2.23606797749979,0.0,05-29-167-2_batch_4
1693.0999999995556,00000000-0000-0000-0000-000000000000,BAIT,472,199,1.414213562373095,1.414213562373095,05-29-167-2_batch_4
1693.0999999995556,00000000-0000-0000-0000-000000000167,MICE,503,223,1.0,-1.23606797749979,05-29-167-2_batch_4
1693.1999999995555,00000000-0000-0000-0000-000000000000,BAIT,471,199,1.0,-0.4142135623730951,05-29-167-2_batch_4
1693.1999999995555,00000000-0000-0000-0000-000000000167,MICE,503,222,1.0,0.0,05-29-167-2_batch_4
1693.2999999995554,00000000-0000-0000-0000-000000000000,BAIT,471,198,1.0,0.0,05-29-167-2_batch_4
1693.2999999995554,00000000-0000-0000-0000-000000000167,MICE,502,221,1.414213562373095,0.4142135623730951,05-29-167-2_batch_4
1693.3999999995551,00000000-0000-0000-0000-000000000000,BAIT,471,198,0.0,-1.0,05-29-167-2_batch_4
1693.3999999995551,00000000-0000-0000-0000-000000000167,MICE,501,219,2.23606797749979,0.8218544151266947,05-29-167-2_batch_4
1693.4999999995553,00000000-0000-0000-0000-000000000000,BAIT,471,199,1.0,1.0,05-29-167-2_batch_4
1693.4999999995553,00000000-0000-0000-0000-000000000167,MICE,500,218,1.414213562373095,-0.8218544151266947,05-29-167-2_batch_4
1693.5999999995552,00000000-0000-0000-0000-000000000000,BAIT,470,199,1.0,0.0,05-29-167-2_batch_4
1693.5999999995552,00000000-0000-0000-0000-000000000167,MICE,498,217,2.23606797749979,0.8218544151266947,05-29-167-2_batch_4
1693.699999999555,00000000-0000-0000-0000-000000000000,BAIT,471,199,1.0,0.0,05-29-167-2_batch_4
1693.699999999555,00000000-0000-0000-0000-000000000167,MICE,498,217,0.0,-2.23606797749979,05-29-167-2_batch_4
1693.799999999555,00000000-0000-0000-0000-000000000000,BAIT,471,198,1.0,0.0,05-29-167-2_batch_4
1693.799999999555,00000000-0000-0000-0000-000000000167,MICE,498,217,0.0,0.0,05-29-167-2_batch_4
1693.899999999555,00000000-0000-0000-0000-000000000000,BAIT,471,198,0.0,-1.0,05-29-167-2_batch_4
1693.899999999555,00000000-0000-0000-0000-000000000167,MICE,497,216,1.414213562373095,1.414213562373095,05-29-167-2_batch_4
1693.9999999995548,00000000-0000-0000-0000-000000000000,BAIT,470,198,1.0,1.0,05-29-167-2_batch_4
1693.9999999995548,00000000-0000-0000-0000-000000000167,MICE,496,216,1.0,-0.4142135623730951,05-29-167-2_batch_4
